aX,aY,aZ,gX,gY,gZ
0.358,0.052,0.823,18.677,30.029,31.86
0.475,0.067,0.741,19.409,56.03,34.424
0.619,0.089,0.67,20.752,70.251,37.476
0.687,0.093,0.562,21.118,71.167,41.016
0.801,0.1,0.532,20.081,62.195,44.617
0.969,0.136,0.495,18.127,51.514,45.776
1.059,0.135,0.415,15.869,37.292,43.64
1.146,0.172,0.534,15.381,11.719,44.189
0.829,0.245,0.472,13.733,-17.7,50.72
0.496,0.185,0.44,10.132,-42.358,60.242
0.197,0.139,0.316,6.836,-41.931,67.2
0.219,0.131,0.194,-1.465,-19.714,65.247
0.94,0.343,0.382,-9.827,10.132,58.655
1.443,0.741,0.573,-12.512,38.269,45.288
1.655,0.962,0.668,-13.977,34.302,37.415
1.629,0.652,0.716,-1.77,-0.916,45.41
1.316,0.492,0.594,2.991,-43.03,46.448
0.984,0.558,0.433,-5.188,-61.035,30.396
0.917,0.663,0.364,-11.902,-46.448,13.367
0.888,0.763,0.384,-14.648,-24.414,3.54
0.933,0.729,0.369,-12.878,-9.583,-2.441
0.972,0.702,0.377,-11.902,-6.165,-9.583
0.954,0.673,0.433,-11.23,-6.47,-19.897
0.944,0.627,0.491,-8.972,-6.47,-27.588
0.933,0.549,0.542,-4.883,-7.385,-29.602
0.947,0.473,0.609,-0.61,-9.277,-30.884
0.968,0.473,0.67,1.709,-12.268,-35.461
0.974,0.446,0.706,4.15,-15.198,-38.513
0.992,0.485,0.766,8.484,-14.404,-34.729
0.891,0.416,0.761,11.963,-9.827,-36.316
0.893,0.351,0.7,14.771,0.732,-38.879
0.973,0.328,0.626,14.465,13.306,-41.565
1.0,0.329,0.563,12.39,19.775,-46.936
0.966,0.333,0.492,9.46,21.118,-52.124
0.879,0.288,0.422,6.897,19.897,-53.955
0.79,0.24,0.359,3.296,19.043,-55.664
0.73,0.221,0.313,-1.648,20.996,-58.472
0.643,0.151,0.249,-6.104,24.17,-61.34
0.665,0.132,0.225,-9.583,20.813,-58.655
0.684,0.124,0.345,-12.085,9.155,-58.716
0.597,0.056,0.472,-11.963,-5.859,-62.134
0.447,0.028,0.532,-11.108,-18.066,-55.786
0.343,-0.034,0.577,-8.24,-22.4,-43.213
0.28,-0.09,0.599,-6.226,-18.494,-32.959
0.267,-0.093,0.593,-5.859,-13.245,-26.428
0.271,-0.068,0.655,-3.174,-13.062,-19.226
0.229,-0.088,0.725,1.099,-17.517,-11.047
0.221,-0.103,0.814,5.493,-20.264,-1.404
0.236,-0.076,0.889,9.521,-15.503,7.69
0.28,-0.065,0.925,12.634,-4.517,14.771
0.318,-0.042,0.914,15.625,7.874,21.484
0.362,-0.015,0.869,17.944,19.165,27.954
0.418,-0.004,0.807,20.081,26.978,33.813
0.496,-0.003,0.756,20.752,31.86,37.415
0.558,0.014,0.725,21.057,36.377,40.039
0.601,0.034,0.651,20.325,40.527,42.725
0.723,0.062,0.648,19.47,42.969,46.082
0.878,0.112,0.639,20.081,44.067,49.133
1.058,0.158,0.607,19.897,40.71,49.988
1.134,0.18,0.547,19.348,27.466,49.683
